Country,ATC3 code,ATC4 code,Molecule,Product Name,Product Strength,Product Pack Size,Corporation,Shortage Status,Date reported,Start date,End date,Date last updated,Relevant unit number,Alternatives available,Shortage impact rating,Additional commentary
Netherlands,,,Tranylcypromine,Tranylcypromine double-e pharma tablet filmom 10mg,Tablet 10mg,90 st,Fagron Nederland B.v.,,12-06-2025,12-06-2025,week 26 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tranylcypromine,Tranylcypromine milstein tablet omhuld 10mg,Tablet 10mg,90 st,Milstein Cv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Tranylcypromine,Tranylcypromine glenmark tablet filmomhuld 20mg,Tablet 20mg,28 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Tranylcypromine,Tranylcypromine glenmark tablet filmomhuld 20mg,Tablet 20mg,90 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,juli 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 100mg,Capsule 100mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,"Recall, zie de brief [5]."
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 10mg,Capsule 10mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,"Recall, zie de brief [5]."
Netherlands,,,Atomoxetine,Atomoxetine hcl aurobindo capsule 10mg,Capsule 10mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 26 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine glenmark capsule 10mg,Capsule 10mg,30 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 10mg,Capsule 10mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 18mg,Capsule 18mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,"Recall, zie de brief [5]."
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 18mg,Capsule 18mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 25mg,Capsule 25mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,"Recall, zie de brief [5]."
Netherlands,,,Atomoxetine,Atomoxetine hcl aurobindo capsule 25mg,Capsule 25mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 33 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 25mg,Capsule 25mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 40mg,Capsule 40mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,"Recall, zie de brief [5]."
Netherlands,,,Atomoxetine,Atomoxetine glenmark capsule 40mg,Capsule 40mg,30 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 40mg,Capsule 40mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,4ᵉ kwartaal 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 60mg,Capsule 60mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Atomoxetine,Atomoxetine hcl aurobindo capsule 60mg,Capsule 60mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 34 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine glenmark capsule 60mg,Capsule 60mg,30 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 60mg,Capsule 60mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Atomoxetine,Atomoxetine accord capsule 80mg,Capsule 80mg,28 st,Accord Healthcare B.v.,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Atomoxetine,Atomoxetine glenmark capsule 80mg,Capsule 80mg,30 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,"Recall, zie de brief [6]."
Netherlands,,,Atomoxetine,Atomoxetine teva capsule 80mg,Capsule 80mg,28 st,Pharmachemie Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Nortriptyline,Nortriptyline ria tablet 10mg,Tablet 10mg,90 st,Focus Care Pharmaceuticals,,12-06-2025,12-06-2025,week 31 2025,12-06-2025,,,,Verhoogde vraag.
Netherlands,,,Nortriptyline,Nortriptyline glenmark tablet filmomhuld 10mg,Tablet 10mg,100 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,juli 2025,12-06-2025,,,,Recall [1].
Netherlands,,,Nortriptyline,Nortriptyline mylan tablet filmomhuld 10mg,Tablet 10mg,100 st,Mylan B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Onbekend.
Netherlands,,,Nortriptyline,Nortriptyline mylan tablet filmomhuld 10mg,Tablet 10mg,500 st,Mylan B.v.,,12-06-2025,12-06-2025,week 40 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Nortriptyline,Nortriptyline double-e pharma tablet filmomh 10mg,Tablet 10mg,100 st,Prolepha Research Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Nortriptyline,Nortriptyline ria tablet 25mg,Tablet 25mg,90 st,Focus Care Pharmaceuticals,,12-06-2025,12-06-2025,week 31 2025,12-06-2025,,,,Verhoogde vraag.
Netherlands,,,Nortriptyline,Nortriptyline glenmark tablet filmomhuld 25mg,Tablet 25mg,100 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,juli 2025,12-06-2025,,,,Recall [1].
Netherlands,,,Nortriptyline,Nortriptyline mylan tablet filmomhuld 25mg,Tablet 25mg,500 st,Mylan B.v.,,12-06-2025,12-06-2025,week 40 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Nortriptyline,Nortriptyline double-e pharma tablet filmomh 25mg,Tablet 25mg,100 st,Prolepha Research Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Nortriptyline,Nortriptyline glenmark tablet filmomhuld 50mg,Tablet 50mg,100 st,Glenmark Pharmaceuticals B.v.,,12-06-2025,12-06-2025,juli 2025,12-06-2025,,,,Recall [1].
Netherlands,,,Nortriptyline,Nortriptyline milstein tablet 50mg,Tablet 50mg,100 st,Milstein Cv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Onbekend.
Netherlands,,,Nortriptyline,Nortriptyline mylan tablet filmomhuld 50mg,Tablet 50mg,100 st,Mylan B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Onbekend.
Netherlands,,,Nortriptyline,Nortriptyline mylan tablet filmomhuld 50mg,Tablet 50mg,500 st,Mylan B.v.,,12-06-2025,12-06-2025,week 40 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Etoricoxib,Etoricoxib mylan tablet filmomhuld  30mg,Tablet fo 30mg,28 st,Mylan B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Etoricoxib,Etoricoxib sandoz tablet filmomhuld  60mg,Tablet fo 60mg,100 st,Sandoz Bv,,12-06-2025,12-06-2025,week 38 2025,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Morfine,Morfinesulfaat sandoz tablet 20mg,Tablet 20mg,30 st,Sandoz Bv,,12-06-2025,12-06-2025,week 31 2025,12-06-2025,,,,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Morfine,Morfinesulfaat aurobindo retard tablet mga  10mg,Tablet mga 10mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 25 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Morfine,Ms contin tablet mga  10mg,Tablet mga 10mg,30 st,Mundipharma Pharmaceuticals Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Morfine,Ms contin tablet mga  15mg,Tablet mga 15mg,30 st,Mundipharma Pharmaceuticals Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Solifenacine,Vesicare suspensie 1mg/ml,Susp oraal 1mg/ml,150 ml,Astellas Pharma Bv,,12-06-2025,12-06-2025,product niet actief,12-06-2025,,,High,Dit product zit niet in het actieve assortiment.
Netherlands,,,Solifenacine,Solifenacinesuccinaat aurobindo tabl filmomh 10mg,Tablet 10mg,250 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 28 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Solifenacine,Solifenacinesuccinaat teva tablet filmomhuld 10mg,Tablet 10mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 30 2025,12-06-2025,,,High,Onbekend
Netherlands,,,Solifenacine,Solifenacinesuccinaat teva tablet filmomhuld 10mg,Tablet 10mg,100 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 30 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Solifenacine,Solifenacinesuccinaat sun tablet filmomhuld 10mg,Tablet 10mg,90 st,Sun Pharmaceutical Industries Europe Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Verpakking gewijzigd: ZI 16820851is alternatief.
Netherlands,,,Solifenacine,Solifenacinesuccinaat teva tablet filmomhuld 5mg,Tablet 5mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 25 2025,12-06-2025,,,High,Onbekend
Netherlands,,,Solifenacine,Solifenacinesuccinaat teva tablet filmomhuld 5mg,Tablet 5mg,100 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 25 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Solifenacine,Solifenacinesuccinaat sun tablet filmomhuld 5mg,Tablet 5mg,90 st,Sun Pharmaceutical Industries Europe Bv,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,High,Uit het assortiment genomen.
Netherlands,,,Tacrolimus,"Tacrolimus cf capsule mva 0,5mg","Capsule mga 0,5mg",50 st,Centrafarm Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Kwaliteitsproblemen.
Netherlands,,,Tacrolimus,Tacrolimus cf capsule mva 1mg,Capsule mga 1mg,50 st,Centrafarm Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Kwaliteitsproblemen.
Netherlands,,,Tacrolimus,Tacrolimus cf capsule mva 3mg,Capsule mga 3mg,50 st,Centrafarm Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Kwaliteitsproblemen.
Netherlands,,,Tacrolimus,Tacrolimus cf capsule mva 5mg,Capsule mga 5mg,50 st,Centrafarm Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Kwaliteitsproblemen.
Netherlands,,,Triptoreline,"Decapeptyl cr injpdr 3,75mg in wwsp +solv 1ml","Pdr v injvlst 3,75mg",1 st,Ferring Bv,,12-06-2025,12-06-2025,juli 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Thiamine,Thiamine hcl bmodesto injvlst 100mg/ml ampul 1ml,Injvlst 100mg/ml,6 st,Bmodesto B.v.,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Thiamine,Thiamine hcl eureco-ph injvlst 100mg/ml ampul 1ml,Injvlst 100mg/ml,6 st,Eureco Pharma,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Kwaliteitsproblemen.
Netherlands,,,Sugammadex,Sugammadex amarox injvlst 100mg/ml flacon 5ml,Injvlst 100mg/ml,10 st,All-Gen Pharmaceuticals And Generics,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Onbekend.
Netherlands,,,Sugammadex,Sugammadex teva injvlst 100mg/ml flacon 2ml,Injvlst 100mg/ml,10 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 32 2025,12-06-2025,,,,Productieproblemen.
Netherlands,,,Midazolam,"Midazolam fagron unit dose neusspray 2,5mg","Neusspray 2,5mg",4 st,Fagron Nederland B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Nieuw in het assortiment en nog niet beschikbaar.
Netherlands,,,Midazolam,"Midazolam neusspray 2,5mg/do flacon 55doses ceb","Neusspray 2,5mg/do",1 st,Ceban Compounding B.v. Breda,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Onbekend.
Netherlands,,,Midazolam,"Midazolam neusspray 2,5mg/do flacon 20 doses nsz","Neusspray 2,5mg/do",1 st,Nij Smellinghe Ziekenhuisapotheek,,12-06-2025,12-06-2025,uit de handel,12-06-2025,,,,Uit het assortiment genomen.
Netherlands,,,Midazolam,"Midazolam fagron unit dose neusspray 3,75mg","Neusspray 3,75mg",4 st,Fagron Nederland B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Nieuw in het assortiment en nog niet beschikbaar.
Netherlands,,,Midazolam,Midazolam fagron unit dose neusspray 5mg,Neusspray 5mg,4 st,Fagron Nederland B.v.,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,,Nieuw in het assortiment en nog niet beschikbaar.
Netherlands,,,Hydrokinine,Inhibin dragee 100mg,Dragee 100mg,90 st,Mylan B.v.,,12-06-2025,12-06-2025,week 29 2025,12-06-2025,,,,Onbekend.
Netherlands,,,Tolterodine,Tolterodinetartraat aurobindo sr capsule mva 2mg,Capsule mga 2mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 46 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tolterodine,Tolterodinetartraat teva retard capsule mva 2mg,Capsule mga 2mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,Kwaliteitsproblemen.
Netherlands,,,Tolterodine,Tolterodinetartraat sandoz retard capsule mva 2mg,Capsule mga 2mg,30 st,Sandoz Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Tolterodine,Tolterodinetartraat aurobindo sr capsule mva 4mg,Capsule mga 4mg,30 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 46 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tolterodine,Tolterodinetartraat aurobindo sr capsule mva 4mg,Capsule mga 4mg,200 st,Aurobindo Pharma Bv,,12-06-2025,12-06-2025,week 46 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tolterodine,Detrusitol sr capsule mva 4mg,Capsule mga 4mg,28 st,Mylan B.v.,,12-06-2025,12-06-2025,week 28 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tolterodine,Tolterodinetartraat teva retard capsule mva 4mg,Capsule mga 4mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,3ᵉ kwartaal 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Tolterodine,Tolterodinetartraat sandoz retard capsule mva 4mg,Capsule mga 4mg,28 st,Sandoz Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Tolterodine,Tolterodinetartraat sandoz retard capsule mva 4mg,Capsule mga 4mg,100 st,Sandoz Bv,,12-06-2025,12-06-2025,week 41 2025,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
Netherlands,,,Tolterodine,Detrusitol tablet omhuld 1mg,Tablet omhuld 1mg,56 st,Mylan B.v.,,12-06-2025,12-06-2025,week 40 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Tolterodine,Detrusitol tablet omhuld 2mg,Tablet omhuld 2mg,56 st,Mylan B.v.,,12-06-2025,12-06-2025,week 27 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Equasym xl capsule mga 10mg,Capsule mga 10mg,30 st,Takeda Nederland Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Equasym xl capsule mga 20mg,Capsule mga 20mg,30 st,Takeda Nederland Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Equasym xl capsule mga 40mg,Capsule mga 40mg,30 st,Takeda Nederland Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Equasym xl capsule mga 50mg,Capsule mga 50mg,30 st,Takeda Nederland Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Kinecteen tablet mva 18mg,Tablet mga 18mg,30 st,Medice Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Verhoogde vraag.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl viatris  retard tablet mva 18mg,Tablet mga 18mg,30 st,Mylan B.v.,,12-06-2025,12-06-2025,week 45 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl teva retard tablet mva 18mg,Tablet mga 18mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 30 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Methylfenidaat,Kinecteen tablet mva 27mg,Tablet mga 27mg,30 st,Medice Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Verhoogde vraag.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl mylan retard tablet mva 27mg,Tablet mga 27mg,30 st,Mylan B.v.,,12-06-2025,12-06-2025,week 29 2025,12-06-2025,,,High,Onbekend.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl teva retard tablet mva 27mg,Tablet mga 27mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 41 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Methylfenidaat,Kinecteen tablet mva 36mg,Tablet mga 36mg,30 st,Medice Bv,,12-06-2025,12-06-2025,onbekend,12-06-2025,,,High,Verhoogde vraag.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl teva retard tablet mva 36mg,Tablet mga 36mg,30 st,Pharmachemie Bv,,12-06-2025,12-06-2025,week 30 2025,12-06-2025,,,High,Productieproblemen.
Netherlands,,,Methylfenidaat,Methylfenidaat hcl sandoz retard tablet mva 36mg,Tablet mga 36mg,30 st,Sandoz Bv,,12-06-2025,12-06-2025,week 25 2025,12-06-2025,,,High,KNMP Farmanco heeft melding vanuit de praktijk ontvangen dat dit product niet leverbaar is. Neem voor meer informatie over de beschikbaarheid contact op met de leverancier.
